Membership No  Date Joined  Active  
    56236      2019-10-16   yes   
    79803      2018-8-14    yes   
    91781      2018-5-7     yes   
    86419      2015-5-7     yes   
    22481      2015-1-2     yes   
    61764      2020-12-12   yes   
    12831      2017-9-14    yes   
    39786      2019-9-1     yes   
    69099      2016-6-22    yes   
    55117      2015-11-25   yes   
    17120      2015-4-9     yes   
    83114      2019-5-19    yes   
    54641      2016-4-14    yes   
    84694      2018-7-10    yes   
